question,answer,marks,topics
"
Define the term 'photosynthesis' and explain its importance in the ecosystem.","
Definition: Photosynthesis is a process involving the conversion of sunlight into energy by plants.

Importance: It helps plants grow.",1,biology
"
Define the term 'photosynthesis' and explain its importance in the ecosystem.","Photosynthesis is something plants do to make food.

Importance: It's important for plants.",1,biology
"
Define the term 'photosynthesis' and explain its importance in the ecosystem.","Photosynthesis is a biological process where plants use sunlight to produce energy.

Importance: It helps plants survive.",2,biology
"
Define the term 'photosynthesis' and explain its importance in the ecosystem.","Photosynthesis involves plants converting light into energy through a series of biochemical reactions.

Importance: It provides energy for plants and other organisms.",4,biology
Define the term 'photosynthesis' and explain its importance in the ecosystem.,"Photosynthesis is a chemical process that occurs in plants, converting sunlight into energy.

Importance: It's essential for the survival of plants and animals.",4,biology
Define the term 'photosynthesis' and explain its importance in the ecosystem.," Photosynthesis is the process by which plants use sunlight to convert carbon dioxide and water into glucose and oxygen.

Importance: It's vital for producing oxygen and food for plants and animals.",5,biology
"
Define the term 'photosynthesis' and explain its importance in the ecosystem."," Photosynthesis is a biochemical reaction where plants convert light energy into chemical energy.

Importance: It's crucial for the oxygen production and energy needs of organisms.",5,biology
"
Define the term 'photosynthesis' and explain its importance in the ecosystem."," Photosynthesis is the process by which plants synthesize glucose from carbon dioxide and water using sunlight.

Importance: It's essential for sustaining life on Earth by producing oxygen and food.",5,biology
Define the term 'photosynthesis' and explain its importance in the ecosystem.," Photosynthesis is the mechanism through which plants convert solar energy into chemical energy to produce organic compounds.

Importance: It's critical for maintaining atmospheric composition and providing energy for ecosystems.",5,biology
1. Define the term 'photosynthesis' and explain its importance in the ecosystem.," Photosynthesis is a fundamental process in which plants convert light energy into chemical energy, supporting life on Earth.

Importance: It's indispensable for producing oxygen and food, sustaining ecosystems.",6,biology
1. Define the term 'photosynthesis' and explain its importance in the ecosystem.,,0,biology
 Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: For every action, there is an equal and opposite reaction.

Everyday Example: When you walk, your feet push against the ground (action), and the ground pushes back on your feet with an equal force (reaction), propelling you forward.",6,physics
 Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: Every force exerted has an equal force exerted in the opposite direction.

Everyday Example: When you throw a ball against a wall, the ball applies a force on the wall, and the wall applies an equal force back on the ball, causing it to bounce back.",5,physics
 Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: Actions have reactions of equal magnitude but opposite direction.

Everyday Example: When you push a door to open it, the door pushes back against you with the same force, preventing it from moving easily.",4,physics
Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: Every force has an equal force acting in the opposite direction.

Everyday Example: When you kick a soccer ball, your foot exerts a force on the ball, and simultaneously, the ball exerts an equal force back on your foot.",3,physics
Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: Forces always occur in pairs with equal magnitude but opposite directions.

Everyday Example: When you sit on a chair, your weight pushes down on the chair, and the chair pushes up with the same force, balancing you.",2,physics
"
Explain Newton's Third Law of Motion with an everyday example","Newton's Third Law: Every action has an equal and opposite reaction force.

Everyday Example: When you push a shopping cart forward, the cart pushes back on you with the same force, making it move forward.",1,physics
"
Explain Newton's Third Law of Motion with an everyday example","Newton's Third Law: Forces come in pairs, with one force acting in one direction and another in the opposite direction.

Everyday Example: When you jump off a diving board into a pool, your feet push down on the board, and the board pushes back up with the same force, propelling you into the air",5,physics
Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: Every force applied results in an equal force pushing back.

Everyday Example: When you paddle a boat in the water, the water pushes back on the paddle with the same force, propelling the boat forward.",4,physics
Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: Forces occur in pairs, with each force being equal and opposite.

Everyday Example: When you push a car that has run out of gas, your hands exert a force on the car, and the car exerts an equal force backward, making it difficult to move.",3,physics
Explain Newton's Third Law of Motion with an everyday example,"Newton's Third Law: All interactions involve two forces that are equal in magnitude but opposite in direction.

Everyday Example: When you step off a boat onto a dock, your foot pushes against the dock, and the dock pushes back on your foot with the same force, keeping you from falling into the water.",3,physics
Explain Newton's Third Law of Motion with an everyday example,,0,physics
Explain Newton's Third Law of Motion with an everyday example,,0,physics
Explain Newton's Third Law of Motion with an everyday example,,0,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

Energy cannot be created or destroyed; it can only be transformed from one form to another.
Example: When a pendulum swings back and forth, potential energy is converted into kinetic energy as it moves. At the highest point of the swing, the pendulum has maximum potential energy, which is then converted into kinetic energy as it descends. At the lowest point, all the potential energy has been converted into kinetic energy, and vice versa as it swings back",6,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

The total energy of a closed system remains constant over time.
Example: In a roller coaster ride, the kinetic energy of the coaster at the top of the hill is converted into potential energy as it climbs. As it descends, potential energy is converted back into kinetic energy. Throughout the ride, the total energy (kinetic + potential) remains constant.",5,physics
"
State the law of conservation of energy and provide an example to illustrate its application","Law of Conservation of Energy:

Energy cannot be created nor destroyed; it can only change forms.
Example: In a simple pendulum, potential energy is converted into kinetic energy as the pendulum swings. At the highest point, all the energy is potential, while at the lowest point, it's all kinetic. The total energy remains constant throughout the motion",4,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

Energy is conserved within a closed system, meaning it remains constant over time.
Example: When a ball is thrown upward, its kinetic energy is converted into potential energy as it rises due to gravity. At its highest point, all the energy is potential, then it's converted back into kinetic energy as the ball falls, with the total energy remaining constant",3,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

The total energy of an isolated system remains constant.
Example: In a car engine, chemical energy from fuel is converted into mechanical energy to move the car. Despite energy transformations, the total energy within the system (car + surroundings) remains constant.",2,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

Energy can neither be created nor destroyed; it can only change forms.
Example: When a battery powers a light bulb, chemical energy stored in the battery is converted into electrical energy, which is then converted into light and heat energy by the bulb. Despite these transformations, the total energy remains constant.",1,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

Energy is neither created nor destroyed within a closed system.
Example: In a hydroelectric dam, potential energy of water at a height is converted into kinetic energy as it falls through turbines. This kinetic energy is then transformed into electrical energy. Throughout the process, the total energy remains constant",5,physics
"
State the law of conservation of energy and provide an example to illustrate its application","Law of Conservation of Energy:

The total energy within an isolated system remains constant.
Example: In a nuclear reactor, nuclear energy from fission reactions is converted into thermal energy, which then generates steam to turn turbines and produce electrical energy. Despite various transformations, the total energy of the system remains constant",4,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

Energy can change from one form to another, but the total amount of energy remains constant.
Example: When you pedal a bicycle, your body converts chemical energy from food into kinetic energy, moving the bicycle forward. As you coast downhill, potential energy due to gravity is converted into kinetic energy. Throughout the ride, the total energy remains constant",3,physics
State the law of conservation of energy and provide an example to illustrate its application,"Law of Conservation of Energy:

Within a closed system, energy is conserved, meaning it cannot be created nor destroyed.
Example: In a solar panel, sunlight is converted into electrical energy through the photovoltaic effect. Despite the transformation of solar energy into electrical energy, the total energy within the system (solar panel + surroundings) remains constant.",4,physics
State the law of conservation of energy and provide an example to illustrate its application,,0,physics
State the law of conservation of energy and provide an example to illustrate its application,,0,physics
State the law of conservation of energy and provide an example to illustrate its application,,0,physics
Explain the role of enzymes in biological reactions,"Explanation: Enzymes are biological catalysts that accelerate chemical reactions in living organisms by lowering the activation energy required for the reaction to occur.

Example: Digestive enzymes like amylase break down starch into glucose in the digestive system.",6,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes play a crucial role in speeding up biochemical reactions by providing an alternative pathway with lower energy requirements.

Example: The enzyme catalase helps break down hydrogen peroxide into water and oxygen in cells, protecting them from oxidative damage.",5,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes act as biological catalysts that facilitate chemical reactions by binding to specific substrates and converting them into products.

Example: DNA polymerase is an enzyme that facilitates the synthesis of new DNA strands during DNA replication.",4,biology
"
Explain the role of enzymes in biological reactions","Explanation: Enzymes act as biological catalysts that facilitate chemical reactions by binding to specific substrates and converting them into products.

Example: DNA polymerase is an enzyme that facilitates the synthesis of new DNA strands during DNA replication.",3,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes act as biological catalysts that facilitate chemical reactions by binding to specific substrates and converting them into products.

Example: DNA polymerase is an enzyme that facilitates the synthesis of new DNA strands during DNA replication.",2,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes are specialized proteins that facilitate biochemical reactions by binding to specific substrates and catalyzing their conversion into products.

Example: Ribonuclease is an enzyme that catalyzes the breakdown of RNA molecules into nucleotides.",1,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes are biological catalysts that accelerate chemical reactions by providing an alternative reaction pathway with lower activation energy.

Example: Trypsin is an enzyme that breaks down proteins into smaller peptides in the digestive system.",6,biology
"
Explain the role of enzymes in biological reactions","Explanation: Enzymes speed up biochemical reactions by lowering the energy barrier required for the reaction to occur.

Example: Amylase catalyzes the hydrolysis of starch into maltose in the mouth and small intestine during digestion.",5,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes facilitate chemical reactions by bringing substrates together and stabilizing their transition states, thus reducing the energy required for the reaction to proceed.

Example: Pepsin is an enzyme that breaks down proteins into peptides in the stomach during digestion.",4,biology
Explain the role of enzymes in biological reactions,"Explanation: Enzymes act as catalysts in biological reactions, increasing the rate of reaction by lowering the activation energy required.

Example: DNA ligase is an enzyme that catalyzes the joining of DNA strands during DNA replication and repair processes.",3,biology
Explain the role of enzymes in biological reactions,,0,biology
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the flow of electric charge through a conductor, typically carried by moving electrons.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), which represents the flow of one coulomb of charge per second.",6,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current refers to the movement of electric charge in a circuit, usually in the form of flowing electrons.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), equivalent to one coulomb of charge passing through a point in one second.",5,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the rate of flow of electric charge through a conductor, resulting from the movement of electrons.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), defined as one coulomb of charge passing a given point in one second.",4,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current refers to the flow of electric charge through a conductor, driven by an electric field.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), which represents the flow of charge per unit time.",3,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the movement of electric charge in a circuit, typically carried by the flow of electrons.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), where one ampere is equal to one coulomb of charge passing a point in one second.",2,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the flow of electric charge through a conductor, such as a wire, due to the movement of electrons.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), defined as the flow of one coulomb of charge per second",1,physics
 Define the term 'electric current' and explain its unit of measurement.," Electric current is the movement of electric charge, typically carried by electrons, through a conductor.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), equivalent to one coulomb of charge flowing per second.",5,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the flow of electric charge through a medium, usually conducted by the movement of electrons.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), representing the rate of flow of charge",4,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the movement of electric charge in a circuit, typically carried by the flow of electrons.",3,physics
 Define the term 'electric current' and explain its unit of measurement.,"Electric current is the flow of electric charge through a conductor, driven by a potential difference.
Unit of Measurement: The unit of measurement for electric current is the ampere (A), defined as the flow of one coulomb of charge per second.",3,physics
